id,name,image,urheberschaft
183,Smash Burger,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
60,Winterzauber Weihnachtsmarkt,Winterzauber_im_Advent.jpg,Copyright: Kira Hofmann
63,Kunsthandwerklicher Weihnachtsmarkt Mexikoplatz,Mexikoplatz_Weihnachtsmarkt.jpg,"Colin Smith, CC BY-SA 2.0 via Wikimedia Commons"
66,Kunsthandwerklicher Weihnachtsmarkt Mexikoplatz,Mexikoplatz_Weihnachtsmarkt.jpg,"Colin Smith, CC BY-SA 2.0 via Wikimedia Commons"
102,Adventsökomarkt der Grünen Liga,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
105,Adventsökomarkt der Grünen Liga,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
108,Adventsökomarkt der Grünen Liga,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
111,Adventsökomarkt der Grünen Liga,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
99,Adventsbasar an der Heilandskirche,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
84,Adventsmarkt,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
147,Ökumenischer Adventsbasar im Pfarrgarten,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
93,46. Lichtenrader Lichtermarkt,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
36,Adventsmarkt,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
144,Adventsbasar,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
21,Weihnachtsmarkt Storkow,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
114,29. Weihnachtsmarkt auf Lehmanns Bauernhof,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
117,29. Weihnachtsmarkt auf Lehmanns Bauernhof,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
75,Adventsmarkt auf der Domäne Dahlem,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
78,Adventsmarkt auf der Domäne Dahlem,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
81,Adventsmarkt auf der Domäne Dahlem,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
72,Adventsmarkt auf der Domäne Dahlem,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
189,Adventsmarkt auf der Domäne Dahlem,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
90,Neuzeller Märchenweihnachtsmarkt,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
129,Kunsthandwerklicher Weihnachtsmarkt Frohnau,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
168,St George's Very Green Christmas Fair,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
171,Kunsthandwerklicher Weihnachtsmarkt vor dem Bröhan-Museum,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
150,Weihnachtsmarkt in der Linde,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
177,Berliner Wintertraum,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
30,Adventsmarkt Hermannswerder,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
6,Weihnachtsmarkt Altstadt Köpenick - Schlossinsel und Schlossplatz,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
48,Weihnachtsmarkt Königs Wusterhausen,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
24,Weihnachtsmarkt Friedenau,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
156,Historische Weihnacht - Friedrichshain,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
54,Wein-Nachtsmarkt am Ludwig-Beck-Platz,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
87,Weihnacht to go im Kranoldkiez,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
39,Weihnachtsmarkt auf der Dicken Linda,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
165,WaldWeihnacht 2024 nur als Lichterspaziergang durch den Forstbotanischen Garten,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
180,Das Weihnachtshaus,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
138,Weihnachten an der Spree,Weihnachten_anDerSpree.jpg,"Reederei Riedel, CC  Attribution 4.0"
162,Heissa Holzmarkt,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
57,Weihnachten in Westend,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
27,Rudower Weihnachtsmeile,Weihnachtsmarkt_Rudow.jpg,Lisa S.
51,Weihnachtsmarkt „An der Bölschestraße“,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
3,17. Berliner Weihnachtszeit vor dem Roten Rathaus - Berlin Mitte,Christmas_market_Rotes_Rathaus_Berlin.jpg,"Leonhard Lenz, CC Zero, Public Domain Dedication"
