id;bezirk;name;strasse;plz_ort;von;bis;veranstalter;oeffnungszeiten;email;www;barrierefreiheit;bemerkungen
109;Tempelhof-Schöneberg;Winter am THF;THF TOWER - Flughafen Tempelhof;12101.0;;;Flughafen Tempelhof (Tempelhof Projekt GmbH);2. Adventswochenende: 05. bis 07.12.2025  | 3. Adventswochenende: 12. bis 14.12.2025  | Freitags 15:00 – 20:00 Uhr  | Samstags und Sonntags 12:00 – 20:00 Uhr;kommunikation@thf-berlin.de;https://www.thf-berlin.de/winter-am-thf;ja;"Die Alte Feuerwache ist barrierefrei von außen zugänglich, die 6. Etage des THF TOWERs ist barrierefrei über einen Fahrstuhl zugänglich. Wintermarkt in der Alten Feuerwache am THF TOWER mit: - Foodtrucks &amp; Glühwein  - Handgemachten Designobjekten und Geschenkideen - Weihnachtlicher Musik - Basteln &amp; Weihnachtsfilme für Kinder (6. Etage des THF TOWERs) |  Außerdem findet am 14.12. ein großes Weihnachtssingen in der ehemaligen Haupthalle des Flughafen Tempelhof statt!"
79;Lichtenberg, Mitte, Charlottenburg-Wilmersdorf;Weihnachtsmarkt Verkauf von Trüffel Pasta, Dessert;Lichtenberg, Alexanderplatz, Potsdamer Platz oder Kudamm (nach Möglichkeit);;01.11.2025;31.12.2025;Aposto Gaststätten GmbH;11:00 bis 23:00 Uhr;lumi-sadiki@hotmail.de;https://aposto-berlin.de/;Ja;
118;Tempelhof-Schöneberg;LGBT*Winterdays und Christmas Avenue Nollendorfplatz;Nollendorfplatz unter der Hochbahn;10777.0;05.11.2025;23.12.2025;Rutwiess Events Berlin & LGBT*Aktionsgemeinschaft Berlin;LGBTQIA* Winterdays:;Info@Rutwiess-events.de;https://www.christmas-avenue.berlin/;nein;auf dem Markt sind Holzhecksel gestreut. Sollten gehandicapte Besucher:innen hier Hilfe benötigen, spechen sie gerne unsere Mitarbeiter an Christmas Avenue & LGBTQIA Winterdays 2025: Glitzer, Beats und queere Liebe am Nollendorfplatz* Ab dem 5. November starten die LGBTQIA Winterdays*, ab dem 24. November öffnet die CHRISTMAS AVENUE – Berlins einziger queerer Weihnachtsmarkt – wieder ihre Pforten. Bis 23. Dezember wird der Nollendorfplatz zum funkelnden Treffpunkt für Community, Freund:innen und Familien. Wenn draußen das Grau regiert, leuchtet unter der Hochbahn ein Ort voller Glitzer, Wärme und Miteinander: Die Christmas Avenue wird auch 2025 wieder das weihnachtliche Wohnzimmer der queeren Szene. |  Zum Start lädt Drag-Queen Margot Schlönzke am 5. November zum legendären Drag-Bingo. Danach sorgen Live-Musik, Drag-Shows, Karaoke und die heißesten DJs der Szene für Partylaune – von House bis Pop. Berlins bekannteste Drag-Performerinnen übernehmen Moderation und Bühne. Dazu gibt’s kulinarische Highlights, Kunst, Design & Manufaktur-Stände, wettergeschützte Gemütlichkeit unter der Hochbahn – und jede Menge queere Sichtbarkeit: Vereine und Initiativen präsentieren ihre Arbeit, sammeln Spenden und laden zum Austausch ein. Für Gruppen gibt es eine Partyhütte zum Mieten.  |  Wöchentliche Specials wie Happy Hour (Mo), After Work (Do) und Aperol o’Clock (So) runden das Programm ab. |  Fotos können auf unsere Homepage zur freien Verfügung runtergeladen werden.
82;Tempelhof-Schöneberg;30. Weihnachtsmarkt auf Lehmanns Bauernhof;Lehmanns Bauernhof  | Alt-Marienfelde 35-37;12277.0;05.12.2025  | 12.12.2025;07.12.2025  | 14.12.2025;Lehmanns Bauernhof E&E Trade Event UG (haftungsbeschränkt) & Co. KG;Freitag: 14 - 20 Uhr  | Samstag: 12 - 20 Uhr  | Sonntag: 12 - 20 Uhr;karstenemail@gmx.de;https://www.lehmannsbauernhof.de;Ja;ebenerdiges Gelände, teilweise Kopfsteinpflaster, mit gut zugänglichen Innenräumen. Auf einem denkmalgeschützten Vierseitenhof, direkt gegenüber der Dorfkirche an der romantischen Dorfaue gelegen, findet zum 30. Mal ein familiär geprägter Weihnachtsmarkt statt. Der Fokus liegt auf Kunsthandwerk und außergewöhnlichen Geschenkidee, ergänzt durch weihnachtliche Gaumengenüsse. Ein Bühnenprogramm, eine Märchenerzählerin sowie Ponyreiten und die Tiere des Hofes runden das Erlebnis bei freiem Eintritt ab.
7;Marzahn-Hellersdorf;Weihnachtsmarkt Alt-Kaulsdorf;Alt-Kaulsdorf Dorfstrasse;12621.0;06.12.2025;;Heimatverein Marzahn-Hellersdorf;13-20 Uhr;organisation@kaulsdorfer-weihnachtsmarkt.de;https://www.kaulsdorfer-weihnachtsmarkt.de;Ja;Von U-Bahn, S-Bahn und Bus gut erreichbar
19;Charlottenburg-Wilmersdorf;Weihnachtsmarkt in der Linde;Johannisberger Str. 15A;14197.0;06.12.2025;;Ev. Lindenkirchengemeinde;12-18 Uhr;buero@lindenkirche.de;https://www.lindenkirche.de;Ja;Der Weihnachtsmarkt findet im Erdgeschoß (Gemeindehaus und Kirche) und im Lindengarten statt. Die Kirche und das Gemeindehaus sind über eine Rollstühlrampe erreichbar. Im Gemeindehaus befindet sich auch eine Berrierefreietoilette.
85;Charlottenburg-Wilmersdorf;Kunsthandwerklicher Weihnachtsmarkt vor dem Bröhan-Museum;Schloßstraße 1a;14059.0;06.12.2025;07.12.2025;KiezKulturWerkstadt e.V.;06.12.2025: 14:00 - 20:00 Uhr  | 07.12.2025: 13:00 - 19:00 Uhr;kontakt@kiezkulturwerkstadt.de;https://www.kiezkulturwerkstadt.de;Ja;Der Weihnachtsmarkt findet ebenerdig statt. Die Stände sind sehr gut ausgeleuchtet.
64;Charlottenburg-Wilmersdorf;A very British Christmas - Your eco-friendly Christmas Fair;Preussenallee 17-19;14052.0;06.12.2025;;"St George&#039;s Anglican Church Berlin";14:00-17:30 Uhr;christmasfair@stgeorgesberlin.de;https://www.stgeorgesberlin.de/;Ja;"https://www.berlin.de/weihnachtsmarkt/7689300-3496862-englischer-weihnachtsmarkt.html. | Unter dem Motto ""A Very British Christmas - your eco-friendly Christmas market"" laden wir zum stimmungsvollen Adventsnachmittag mit englischem Weihnachtsgebäck, englischem Glühwein, Dudelsackklängen und englischen Weihnachtsliedern ein."
100;Marzahn-Hellersdorf;27. Alt-Kaulsdorfer Weihnachtsmarkt;Dorfstraße;12621.0;06.12.2025;;Heimatverein Marzahn-Hellersdorf;13:00 bis 20:00 Uhr;fischer.matthias@berlin.de;https://www.kaulsdorfer-weihnachtsmarkt.de/;Ja;Barrierefreie Wege, Rollstuhlgerecht. Beim nachbarschaftlichen Weihnachtsmarkt in Alt-Kaulsdorf kommt jedes Jahr im Dezember der Kiez zu gebrannten Mandeln und Glühwein zusammen. |  Der familiäre Weihnachtsmarkt mit seinen knapp 100 Ständen findet bereits seit über 20 Jahren statt und zählt inzwischen einige Stammkunden aus dem Bezirk. Auch beim 27. Alt-Kaulsdorfer Weihnachtsmarkt im Jahr 2025 bieten die Händler kleine, weihnachtliche Kostbarkeiten sowie süße und deftige Naschereien. Adventskonzerte und Ortsgeschichte |  Wer nicht nur stöbern, essen und trinken möchte, kann sich bei dem Veranstalter, dem Heimatverein Marzahn-Hellersdorf e.V. über die Geschichte des Dorfes Alt-Kaulsdorf informieren. In der mittelalterlichen Jesuskirche am Dorfanger laden zudem weihnachtliche Konzerte dazu ein, kurz innezuhalten.
58;Charlottenburg-Wilmersdorf;Adventmarkt in der Leonhardtstraße;Leonhardtstrasse;14057.0;07.12.2025;;Family & Friends e. V.;11-20 Uhr;stadtkultur@family-and-friends-ev.de;https://www.family-and-friends-ev.de/;Ja;findet auf dem Bürgersteig statt
