id,name,shortname,strasse,bezirk,plz_ort,von,bis,oeffnungszeiten,Mo,Di,Mi,Do,Fr,Sa,So,closed-exc,hours-exc,w3,bemerkungen,bemerkungen_en,lat,lng,ignore,immer-kostenlos,international,barrierefrei,action,short_distance,train,image,urheberschaft
132,Spandauer Weihnachtsmarkt,,Altstadt Spandau,Spandau,13597 Berlin,25.11.24,22.12.24,"Sonntag bis Donnerstag 11:00 - 20:00 Uhr
Freitag bis Samstag 11:00 - 22:00 Uhr",11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,,,https://www.spandauer-weihnachtsmarkt.de,"Hier ist Weihnachten zu Hause. Im Advent wird die Spandauer Altstadt wieder vom Duft gebrannter Mandeln, gegrillter Bratwurst und köstlichem Glühwein durchzogen. Kinderaugen strahlen beim Anblick bunter Zuckerwatte und die Herzen schlagen schneller bei Jung und Alt, wenn sie dem Weihnachtsmann begegnen.
 Vom Rathaus Spandau bis zur Kirche St. Nikolai, sowie auf dem Marktplatz bieten Kunsthandwerker und Händler Ihre Waren zum Stöbern, Staunen und natürlich zum Verkauf an. Auf dem südlichen Teil des Reformationsplatzes an der Kirche St. Nikolai findet wieder der beliebte mittelalterliche Teil des Weihnachtsmarktes seinen Platz.
 In Berlins größter zusammenhängenden Fußgängerzone mit seinen fast 120 Einzelhandelsgeschäften und drei Kaufhäusern, sowie den Spandau Arcaden, die fußläufig nur wenige Minuten entfernt sind, lässt sich der Weihnachtsmarktbesuch vortrefflich mit der Suche nach den schönsten Überraschungen zum Weihnachtsfest für die Lieben kombinieren.
Verkehrstechnisch ist der Spandauer Weihnachtsmarkt hervorragend angebunden. Zwischen den beiden U-Bahnhöfen Altstadt Spandau und Rathaus Spandau der Linie 7 gelegen, in unmittelbarer Nähe des Fern- und Regionalbahnhofs Spandau mit den Anschlüssen der S-Bahn, Regional- und Fernbahn, sowie unterschiedlichsten Buslinien, findet jeder Besucher seine optimale Verbindung mit dem ÖPNV. Und wer doch nicht auf das eigene Fahrzeug verzichten möchte, der hat die freie Wahl bei fast 5.000 Stellplätzen auf drei Parkplätzen und vier Parkhäusern, die rund um die Altstadt Spandau angesiedelt sind.
 Geöffnet ist der Spandauer Weihnachtsmarkt vom 27. November bis 23. Dezember täglich ab 11 Uhr und der Eintritt ist an allen Tagen frei.
 Der Spandauer Weihnachtsmarkt freut sich auf Sie!
 Spandauer Weihnachtsmarkt 2024 25.11.2023 – 22.12.2024
 Öffnungszeiten: Sonntag bis Donnerstag 11 - 20 Uhr Freitag und Samstag 11 - 22 Uhr",,52.5375,13.2036,0,0,0,0,0,1,"S+U Rathaus Spandau (Berlin), U Altstadt Spandau (Berlin)",Spandau_Weihnachtsmarkt.jpg,"Colin Smith, CC BY-SA 2.0 via Wikimedia Commons"
69,Lucia Weihnachtsmarkt in der Kulturbrauerei 2024,,Schönhauser Allee 36,Pankow,10435 Berlin,25.11.24,22.12.24,"Mo-Fr 15:00 - 22:00 Uhr
Sa-So 13:00 - 22:00 Uhr",15:00-22:00,15:00-22:00,15:00-22:00,15:00-22:00,15:00-22:00,15:00-22:00,15:00-22:00,,,https://www.lucia-weihnachtsmarkt.de/,Der Eintritt ist frei.,,52.5383,13.4129,0,0,0,0,0,0,,Lucia_Weihnachtsmarkt.jpg,"Auto1234, CC BY-SA 3.0 via Wikimedia Commons"
123,Weihnachtsmarkt am Schloss Charlottenburg,,"Schloss Charlottenburg , Spandauer Damm 20-24",Charlottenburg-Wilmersdorf,14059 Berlin,25.11.24,29.12.24,"Mo-Do: 13:00 - 22:00 Uhr
Fr-So: 12:00 - 22:00 Uhr
Heilig Abend geschlossen
1./2. Weihnachtsfeiertag 12:00 - 22:00 Uhr",13:00-22:00,13:00-22:00,13:00-22:00,13:00-22:00,13:00-22:00,13:00-22:00,13:00-22:00,,,https://www.schloss-weihnachtsmarkt.de,"Der Einritt ist frei.
Seit 2023 ist Jens Schmidt von der Jens Schmidt GmbH aus Velten neuer Veranstalter vom ""Weihnachtsmarkt am Schloss Charlottenburg"". 
 Alle Gäste des Marktes werden mit vielen Attraktionen besinnlich auf die Weihnachtszeit eingestimmt, können in eine Welt voller festlicher Freude eintauchen und den Zauber der Weihnacht erleben. Ob große Weihnachtspyramide, weihnachtliche Verkaufshäuschen, edle Pagodenzelte, Kinderkarussells oder aufwändige Licht-Installationen – eine Symphonie aus Licht, weihnachtlichem Glanz, Unterhaltung und Kunsthandwerk sorgt für unvergessliche Momente. Es gibt schöne Geschenkideen und liebevoll Selbstgemachtes, ebenso eine große Auswahl an kulinarischen Köstlichkeiten passend zur Weihnachtszeit.",,52.5199,13.2933,0,0,0,0,0,0,,Weihnachtsmarkt_Schloss_Charlottenburg.jpg,"Heidi zu Klampen, CC BY-SA 3.0 via Wikimedia Commons"
174,Weihnachtsmarkt an der Kaiser-Wilhelm-Gedächtniskirche,,Breitscheidplatz,Charlottenburg-Wilmersdorf,10719 Berlin,25.11.24,05.01.25,"Voraussichtlich (noch in Klärung): 
 Täglich von 11 bis 21 Uhr freitags & samstags: 11 bis 22 Uhr 24. -26. Dezember noch in Klärung
 31. Dezember + 1. Januar noch in Klärung",11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,,,https://www.schaustellerverband-berlin.de/weihnachtsmarkt-berlin.html,/,,52.5049,13.3366,0,0,0,0,0,1,"U Kurfürstendamm (Berlin), S+U Zoologischer Garten Bhf (Berlin)",placeholder.png,placeholder
96,Adventsmarkt im Rathaus Charlottenburg,,Otto-Suhr-Allee 100,Charlottenburg-Wilmersdorf,10585 Berlin,27.11.24,27.11.24,11:00-14:00,0,0,11:00-14:00,0,0,0,0,,,/,Die seit 2007 durchgeführte Veranstaltung ändert ihren Namen von Nikolausmarkt in Adventsmarkt. Ansonsten ändert sich wenig: Beschäftigungs- und Bildungsträger verkaufen von den Teilnehmenden hergestellte Adventsdekoration und Geschenkartikel aus Holz und Textil und stellen dabei ihre Angebote und Projekte im Bezirk vor.  Es entsteht ein buntes Angebot für die eigene Einstimmung in die Adventszeit.,,52.5171,13.3082,0,0,0,0,0,1,U Richard-Wagner-Platz (Berlin),placeholder.png,placeholder
126,Schwedischer Weihnachtsbasar,,Landhausstr. 26-28,Charlottenburg-Wilmersdorf,10717 Berlin,29.11.24,01.12.24,"Freitag, 29.11.: 16:00 - 20:00 Uhr
Samstag, 30.11.: 12:00 - 19:00 Uhr
Sonntag, 01.12.: 12:00 -18:00 Uhr",0,0,0,0,16:00-20:00,16:00-20:00,16:00-20:00,,,https://www.svenskakyrkan.se/berlin/nyheter/weihnachtsbasar-der-schwedische-kirche,nan,,52.4874,13.3285,0,0,0,0,0,1,U Berliner Str. (Berlin),placeholder.png,placeholder
45,Weihnachtsmarkt Pankow (Am Schloss Schönhausen),,Tschaikowskistraße 1,Pankow,13156 Berlin,29.11.24,01.12.24,11:00 - 21:00 Uhr,0,0,0,0,11:00-21:00,11:00-21:00,11:00-21:00,,,https://www.hauptstadtkultur.berlin,"Kunsthandwerk, Leckereien, Glühwein Bar & Live Musik",,52.5783,13.4058,0,0,0,0,0,0,,placeholder.png,placeholder
18,Weihnachtsmarkt Alt-Marzahn,,Alt-Marzahn 32,Marzahn-Hellersdorf,12685 Berlin,29.11.24,01.12.24,12:00 - 22:00 Uhr,0,0,0,0,12:00-22:00,12:00-22:00,12:00-22:00,,,https://www.haupstadtkultur.berlin,"Kunsthandwerk, Leckereien, Glühwein Bar & Live Musik",,52.5433,13.5594,0,0,0,0,0,0,,placeholder.png,placeholder
153,Umwelt- und Weihnachtsmarkt in der Sophienstraße,,Sophienstraße,Mitte,10178 Berlin,30.11. bis 01.12. / 07.12. bis 08.12. / 14.12. bis 15.12.  21.12. bis 22.12.2024,30.11. bis 01.12. / 07.12. bis 08.12. / 14.12. bis 15.12.  21.12. bis 22.12.2024,Samstags 12:00 Uhr bis 20:00 Uhr Sonntags 11:00 Uhr bis 19:00 Uhr,0,0,0,0,0,0,0,,,/,"Direkt neben den Hackeschen Höfen in einer der ältesten Straßen von Berlin, erwartet Sie ein außergewöhnliches Angebot an einzigartiger Designer- und Künstlerware. Das einmalige Konzept wurde bereits 1996 mit dem 1.Preis des Umweltwettbewerbs honoriert und hebt sich von den anderen Weihnachtsmärkten der Stadt wohltuend ab. 
 Von trendig-hippem Berliner Design- und Kunsthandwerk über Naturwaren höchster Bio-Güte bis hin zu den verschiedensten Gegenständen aus fairem Handel. Hier findet jeder Besucher sein individuelles Geschenk!
 Seit über 20 Jahren in Berlin und über die Stadtgrenzen hinaus bekannt!",,52.4432,13.3042,0,0,0,0,0,0,,placeholder.png,placeholder
159,"Der ""etwas andere"" Weihnachtsmarkt",,"Naturparkzentrum Hoher Fläming, Brennereiweg 45",Rabenstein/Fläming,,30.11.24,01.12.24,12:00 Uhr bis 18:00 Uhr,0,0,0,0,0,12:00-18:00,12:00-18:00,,,/,"Wenn Glühweinduft in die Nase steigt, ein wärmendes Lagerfeuer in der Feuerschale knistert oder der Weihnachtsmann Gedichten und Liedern lauscht … dann ist wieder Weihnachtsmarkt in Raben! In diesem Jahr lädt der Naturparkverein Hoher Fläming bereits 26. Mal am ersten Adventswochenende zu diesem besonderen Familien-Weihnachtsmarkt rund um das Naturparkzentrum nach Raben ein. Hier kann man seine Weihnachtsgeschenke nicht nur kaufen - sondern auch selber basteln! Die Anreise ist bequem mit der Burgenlinie möglich. Fünf Mal am Tag, passend zu den Zügen aus Richtung Berlin und Potsdam, fährt der Bus vom Bahnhof Bad Belzig durch den Naturpark Hoher Fläming und wieder zurück zum Bahnhof.",,52.0443,12.5762,0,0,0,0,0,0,,placeholder.png,placeholder
