id;name;shortname;image;urheberschaft
3;17. Berliner Weihnachtszeit vor dem Roten Rathaus - Berlin Mitte;;Christmas_market_Rotes_Rathaus_Berlin.jpg;Leonhard Lenz, CC Zero, Public Domain Dedication
6;Weihnachtsmarkt Altstadt Köpenick - Schlossinsel und Schlossplatz;;;
9;Alt-Buckower Adventsmarkt;;;
12;Weihnachtsmarkt Tempelhofer Hafen;;Weihnachtsmarkt_Tempelhofer_Hafen.jpg;Dguendel, CC BY 4.0 via Wikimedia Commons
15;Weihnachtsmarkt Hallen am Borsigturm;;;
18;Weihnachtsmarkt Alt-Marzahn;;;
21;Weihnachtsmarkt Storkow;;;
24;Weihnachtsmarkt Friedenau;;;
27;Rudower Weihnachtsmeile;;Weihnachtsmarkt_Rudow.jpg;Lisa S.
30;Adventsmarkt Hermannswerder;;;
33;Prenzlauer Weihnachtsmarkt;;;
36;Adventsmarkt;;;
39;Weihnachtsmarkt auf der Dicken Linda;;;
42;Weihnachtsmarkt Helle/Mitte;;;
45;Weihnachtsmarkt Pankow (Am Schloss Schönhausen);;;
48;Weihnachtsmarkt Königs Wusterhausen;;;
51;Weihnachtsmarkt „An der Bölschestraße“;;;
54;Wein-Nachtsmarkt am Ludwig-Beck-Platz;;;
57;Weihnachten in Westend;;;
60;Winterzauber Weihnachtsmarkt;;Winterzauber_im_Advent.jpg;Copyright: Kira Hofmann
63;Kunsthandwerklicher Weihnachtsmarkt Mexikoplatz;;Mexikoplatz_Weihnachtsmarkt.jpg;Colin Smith, CC BY-SA 2.0 via Wikimedia Commons
66;Kunsthandwerklicher Weihnachtsmarkt Mexikoplatz;;Mexikoplatz_Weihnachtsmarkt.jpg;Colin Smith, CC BY-SA 2.0 via Wikimedia Commons
69;Lucia Weihnachtsmarkt in der Kulturbrauerei 2024;;Lucia_Weihnachtsmarkt.jpg;Auto1234, CC BY-SA 3.0 via Wikimedia Commons
72;Adventsmarkt auf der Domäne Dahlem;;;
75;Adventsmarkt auf der Domäne Dahlem;;;
78;Adventsmarkt auf der Domäne Dahlem;;;
81;Adventsmarkt auf der Domäne Dahlem;;;
84;Adventsmarkt;;;
87;Weihnacht to go im Kranoldkiez;;;
90;Neuzeller Märchenweihnachtsmarkt;;;
93;46. Lichtenrader Lichtermarkt;;;
96;Adventsmarkt im Rathaus Charlottenburg;;;
99;Adventsbasar an der Heilandskirche;;;
102;Adventsökomarkt der Grünen Liga;;;
105;Adventsökomarkt der Grünen Liga;;;
108;Adventsökomarkt der Grünen Liga;;;
111;Adventsökomarkt der Grünen Liga;;;
114;29. Weihnachtsmarkt auf Lehmanns Bauernhof;;;
117;29. Weihnachtsmarkt auf Lehmanns Bauernhof;;;
120;„Bunt in eine besinnliche Zeit – Wir leben Weihnachten“;;;
123;Weihnachtsmarkt am Schloss Charlottenburg;;Weihnachtsmarkt_Schloss_Charlottenburg.jpg;Heidi zu Klampen, CC BY-SA 3.0 via Wikimedia Commons
126;Schwedischer Weihnachtsbasar;;;
129;Kunsthandwerklicher Weihnachtsmarkt Frohnau;;;
132;Spandauer Weihnachtsmarkt;;Spandau_Weihnachtsmarkt.jpg;Colin Smith, CC BY-SA 2.0 via Wikimedia Commons
135;Lauenburger Veranstaltungen;;;
138;Weihnachten an der Spree;;;
141;Wintermarkt Schloßplatz Berlin Mitte;;;
144;Adventsbasar;;;
147;Ökumenischer Adventsbasar im Pfarrgarten;;;
150;Weihnachtsmarkt in der Linde;;;
153;Umwelt- und Weihnachtsmarkt in der Sophienstraße;;;
156;Historische Weihnacht - Friedrichshain;;;
159;"Der ""etwas andere"" Weihnachtsmarkt";;;
162;Heissa Holzmarkt;;;
165;WaldWeihnacht 2024 nur als Lichterspaziergang durch den Forstbotanischen Garten;;;
168;St George's Very Green Christmas Fair;;;
171;Kunsthandwerklicher Weihnachtsmarkt vor dem Bröhan-Museum;;;
174;Weihnachtsmarkt an der Kaiser-Wilhelm-Gedächtniskirche;;;
177;Berliner Wintertraum;;;
180;Das Weihnachtshaus;;;
183;Smash Burger;;;
186;Weihnachtsmarkt Berlin by der Weinlobbyist;;;
189;Adventsmarkt auf der Domäne Dahlem;;;
