id;name;shortname;strasse;bezirk;plz_ort;von;bis;oeffnungszeiten;Mo;Di;Mi;Do;Fr;Sa;So;closed-exc;hours-exc;w3;bemerkungen;bemerkungen_en;lat;lng;ignore;immer-kostenlos;international;barrierefrei;action;short_distance;train;image;urheberschaft
183;Smash Burger;Smash Burger;Landsberger Allee, Rotes Rathaus, Alexander Platz;Mitte; Berlin;01.11.24;28.12.24;14:00 Uhr bis 23:00 Uhr;14:00-23:00;14:00-23:00;14:00-23:00;14:00-23:00;14:00-23:00;14:00-23:00;14:00-23:00;;;/;/;;52.5191;13.4086;1;0;0;0;0;1;U Klosterstr. (Berlin), U Rotes Rathaus (Berlin), S+U Alexanderplatz Bhf (Berlin);placeholder.png;freestocks.org, CC BY-SA 4.0 via Wikimedia Commons
60;Winterzauber Weihnachtsmarkt;Winterzauber Weihnachtsmarkt;Möllhausenufer 30;Treptow-Köpenick;12555 Berlin;01.11.24;31.12.24;12:00 - 20:00 Uhr;12:00-20:00;12:00-20:00;12:00-20:00;12:00-20:00;12:00-20:00;12:00-20:00;12:00-20:00;;;https://strandbad-wendenschloss.berlin;/;;52.4152;13.6002;0;0;0;0;0;0;;Winterzauber_im_Advent.jpg;Copyright: Kira Hofmann
63;Kunsthandwerklicher Weihnachtsmarkt Mexikoplatz;Kunsthandwerklicher Weihnachtsmarkt Mexikoplatz;Mexikoplatz und Bülowstraße 1-8;Steglitz-Zehlendorf;14163 Berlin;01.12. / 15.12. / 22.12.2024;01.12. / 15.12. / 22.12.2024;11:00 - 18:00 Uhr;0;0;0;0;0;0;0;;;https://kunsthand-berlin.de/;"Es werden nur handgefertigte Objekte kleiner Ateliers und Werkstätten gezeigt, die Kunsthandwerker sind vor Ort.
Keine Handels-/Importware! Kein Rahmenprogramm.";;52.437;13.2327;0;0;0;0;0;1;S Mexikoplatz (Berlin);Mexikoplatz_Weihnachtsmarkt.jpg;Colin Smith, CC BY-SA 2.0 via Wikimedia Commons
66;Kunsthandwerklicher Weihnachtsmarkt Mexikoplatz;Kunsthandwerklicher Weihnachtsmarkt Mexikoplatz;Mexikoplatz und Bülowstraße 1-8;Steglitz-Zehlendorf;14163 Berlin;08.12.24;08.12.24;11:00 - 18:00 Uhr;0;0;0;0;0;0;11:00-18:00;;;https://kunsthand-berlin.de/;"Es werden nur handgefertigte Objekte kleiner Ateliers und Werkstätten gezeigt, die Kunsthandwerker sind vor Ort.
Keine Handels-/Importware! Kein Rahmenprogramm.";;52.437;13.2327;0;0;0;0;0;1;S Mexikoplatz (Berlin);Mexikoplatz_Weihnachtsmarkt.jpg;Colin Smith, CC BY-SA 2.0 via Wikimedia Commons
102;Adventsökomarkt der Grünen Liga;Adventsökomarkt der Grünen Liga;Wörtherstraße am Kollwitzplatz - zwischen Knaackstraße und Kollwitzstraße;Pankow;10405 Berlin;01.12.24;01.12.24;12:00 - 19:00 Uhr;0;0;0;0;0;0;12:00-19:00;;;https://www.grueneliga-berlin.de;Neben dem Adventsökomarkt bleibt der wöchentliche Donnerstag Ökomarkt am Kollwitzplatz bestehen und findet immer von 12.00 bis 19.00 Uhr statt (jeden Donnerstag und an den Adventssonntagen( 1.12., 8.12. 15.12. und 22. 12. 2024);;52.5366;13.4175;0;0;0;0;0;0;;placeholder.png;freestocks.org, CC BY-SA 4.0 via Wikimedia Commons
105;Adventsökomarkt der Grünen Liga;Adventsökomarkt der Grünen Liga;Wörtherstraße am Kollwitzplatz - zwischen Knaackstraße und Kollwitzstraße;Pankow;10405 Berlin;08.12.24;08.12.24;12:00 - 19:00 Uhr;0;0;0;0;0;0;12:00-19:00;;;https://www.grueneliga-berlin.de;Neben dem Adventsökomarkt bleibt der wöchentliche Donnerstag Ökomarkt am Kollwitzplatz bestehen und findet immer von 12.00 bis 19.00 Uhr statt (jeden Donnerstag und an den Adventssonntagen( 1.12., 8.12. 15.12. und 22. 12. 2024);;52.5366;13.4175;0;0;0;0;0;0;;placeholder.png;freestocks.org, CC BY-SA 4.0 via Wikimedia Commons
108;Adventsökomarkt der Grünen Liga;Adventsökomarkt der Grünen Liga;Wörtherstraße am Kollwitzplatz - zwischen Knaackstraße und Kollwitzstraße;Pankow;10405 Berlin;15.12.24;15.12.24;12:00 - 19:00 Uhr;0;0;0;0;0;0;12:00-19:00;;;https://www.grueneliga-berlin.de;Neben dem Adventsökomarkt bleibt der wöchentliche Donnerstag Ökomarkt am Kollwitzplatz bestehen und findet immer von 12.00 bis 19.00 Uhr statt (jeden Donnerstag und an den Adventssonntagen( 1.12., 8.12. 15.12. und 22. 12. 2024);;52.5366;13.4175;0;0;0;0;0;0;;placeholder.png;freestocks.org, CC BY-SA 4.0 via Wikimedia Commons
111;Adventsökomarkt der Grünen Liga;Adventsökomarkt der Grünen Liga;Wörtherstraße am Kollwitzplatz - zwischen Knaackstraße und Kollwitzstraße;Pankow;10405 Berlin;22.12.24;22.12.24;12:00 - 19:00 Uhr;0;0;0;0;0;0;12:00-19:00;;;https://www.grueneliga-berlin.de;Neben dem Adventsökomarkt bleibt der wöchentliche Donnerstag Ökomarkt am Kollwitzplatz bestehen und findet immer von 12.00 bis 19.00 Uhr statt (jeden Donnerstag und an den Adventssonntagen( 1.12., 8.12. 15.12. und 22. 12. 2024);;52.5366;13.4175;0;0;0;0;0;0;;placeholder.png;freestocks.org, CC BY-SA 4.0 via Wikimedia Commons
99;Adventsbasar an der Heilandskirche;Adventsbasar an der Heilandskirche;Thusnelda-Allee 1;Mitte;10555 Berlin;01.12.24;01.12.24;12:00 -18:00 Uhr;0;0;0;0;0;0;12:00-18:00;;;https://www.marktzeit.berlin/;Adventsmarkt findet nur am 1. Advent statt.;;52.5261;13.3398;0;0;0;0;0;1;U Turmstr. (Berlin);placeholder.png;freestocks.org, CC BY-SA 4.0 via Wikimedia Commons
84;Adventsmarkt;Adventsmarkt;Schönwalder Allee 26;Spandau;13587 Berlin;01.12.24;01.12.24;11 Uhr Gottesdienst Danach Markt rund um die Stiftskirche (12-19 Uhr). Posaunenmusik, christliche Weihnachtstraditionen.;0;0;0;0;0;0;12:00-19:00;;;https://www.evangelisches-johannesstift.de;/;;52.5705;13.1955;0;0;0;0;0;0;;placeholder.png;freestocks.org, CC BY-SA 4.0 via Wikimedia Commons
