id,name,shortname,strasse,bezirk,plz_ort,von,bis,oeffnungszeiten,Mo,Di,Mi,Do,Fr,Sa,So,closed-exc,hours-exc,w3,bemerkungen,bemerkungen_en,lat,lng,ignore,immer-kostenlos,international,barrierefrei,action,short_distance,train,image,urheberschaft
1,Weihnachtsmarkt Fußgängerzone Wilmersdorfer Strasse,Weihnachtsmarkt Fußgängerzone Wilmersdorfer Strasse,"Fußgängerzone, Willmersdorferstraße",Charlottenburg-Wilmersdorf,10627 Berlin,24.11.25,27.12.25,"Montag - Samstag: 11:00 - 20:00 Uhr
Sonntag: 12:00 - 19:00 Uhr
Heiligabend 10:00 bis 14:00 Uhr 
Am 25. Dezember und 26.12.2025 bleibt der Markt geschlossen!",11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,12:00 - 19:00,"25.12.25, 26.12.25",24.12.25= 10:00 - 14:00,,25 Jahre Jubiläum - Weihnachtsmarkt in Berlins größter Fußgängerzone mit tollen Attraktionen! Weihnachtsbaum mit über 25.000 Lichtern Lichterglanz und Weihnachtszauber in der gesamten Fußgängerzone.,"25th anniversary - Christmas market in Berlin's largest pedestrian zone with fantastic attractions! Christmas tree with over 25,000 lights Sparkling lights and Christmas magic throughout the pedestrian zone",52.509,13.305,0,1,0,1,0,1,"U Wilmersdorfer Str., U Bismarckstr.",placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
4,Alt-Buckower Adventsmarkt,Alt-Buckower Adventsmarkt,Alt-Buckow 36-38,Neukölln,12349 Berlin,29.11.25,29.11.25,14:00 - 22:00 Uhr,0,0,0,0,0,14:00 - 22:00,0,0,0,https://www.dorfkirche-alt-buckow.de,"Der Außen- und Innenbereich, sowie die Toiletten sind Barrierefrei.","The outdoor and indoor areas, as well as the restrooms, are barrier-free.",52.4219,13.4309,0,1,0,1,0,0,,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
7,Weihnachtsmarkt Alt-Kaulsdorf,Weihnachtsmarkt Alt-Kaulsdorf,Alt-Kaulsdorf Dorfstrasse,Marzahn-Hellersdorf,12621 Berlin,06.12.25,06.12.25,13:00 - 20:00 Uhr,0,0,0,0,0,13:00 - 20:00,0,0,0,https://www.kaulsdorfer-weihnachtsmarkt.de,"Von U-Bahn, S-Bahn und Bus gut erreichbar.","Easily accessible by subway, commuter train and bus.",52.5082,13.5801,0,1,0,1,0,0,,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
10,Weihnachtsmarkt Berlin by »der Weinlobbyist«,Weihnachtsmarkt Berlin by »der Weinlobbyist«,Kolonnenstr. 62,Tempelhof-Schöneberg,10827 Berlin,24.11.25,31.12.25,Montag - Sonntag: 15:00 - 22:00 Uhr,15:00 - 22:00,15:00 - 22:00,15:00 - 22:00,15:00 - 22:00,15:00 - 22:00,15:00 - 22:00,15:00 - 22:00,0,0,https://www.derweinlobbyist.de/weihnachtsmarkt-berlin-2025,Auch zwischen den Jahren geöffnet.,Also open between Christmas and New Year.,52.4871,13.3585,0,1,0,1,0,1,"S Julius-Leber-Brücke, U-Bahn Kleistpark",placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
13,Weihnachtsmarkt am Schloss Charlottenburg,Weihnachtsmarkt am Schloss Charlottenburg,Spandauer Damm 20,Spandau,14059 Berlin,24.11.25,28.12.25,"Montag - Donnerstag: 13:00 - 22:00 Uhr
Freitag - Sonntag: 12:00 - 22:00 Uhr
1. und 2. Feiertag: 12:00 -22:00  Uhr
24.12.2025 geschlossen",13:00 - 22:00,13:00 - 22:00,13:00 - 22:00,13:00 - 22:00,12:00 - 22:00,12:00 - 22:00,12:00 - 22:00,24.12.25,"25.12.25= 12:00 - 22:00, 26.12.24= 12:00 - 22:00",https://www.schloss-weihnachtsmarkt.de,,,52.5199,13.2933,0,1,0,1,1,0,,Weihnachtsmarkt_Schloss_Charlottenburg.jpg,"Heidi zu Klampen, CC BY-SA 3.0 via Wikimedia Commons"
16,Weihnachtsmarkt auf der Dicken Linda,Weihnachtsmarkt auf der Dicken Linda,Kranoldplatz,Neukölln,12051 Berlin,13.12.25,13.12.25,10:00 - 18:00 Uhr,0,0,0,0,0,10:00 - 18:00,0,0,0,https://www.diemarktplaner.de,"Auf dem Neuköllner Kranoldplatz findet das achte Jahr in Folge am 2. Advents-Samstag eine weihnachtliche Marktausgabe statt, 10 bis 18 Uhr. An allen anderen Samstagen im Jahr ist hier von 10 bis 16 Uhr der Wochenmarkt DIE DICKE LINDA zu finden, der ebenfalls von diemarktplaner organisiert wird. Hinweis zur Barrierefreiheit: Der Markt befindet sich auf einem ebenerdigen Platz.","For the eighth year in a row, a Christmas market will be held on Kranoldplatz in Neukölln on the second Saturday of Advent, from 10 a.m. to 6 p.m. On all other Saturdays throughout the year, the weekly market DIE DICKE LINDA, also organized by diemarktplaner, can be found here from 10 a.m. to 4 p.m. The market is located on a level square.",52.4664,13.4378,0,1,0,1,0,1,S+U Neukölln,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
19,Weihnachtsmarkt in der Linde,Weihnachtsmarkt in der Linde,Johannisberger Str. 15A,Charlottenburg-Wilmersdorf,14197 Berlin,06.12.25,06.12.25,12:00 -18:00 Uhr,0,0,0,0,0,12:00 - 18:00,0,0,0,https://www.lindenkirche.de,Hinweis zur Barrierefreiheit: Der Weihnachtsmarkt findet im Erdgeschoß (Gemeindehaus und Kirche) und im Lindengarten statt. Die Kirche und das Gemeindehaus sind über eine Rollstühlrampe erreichbar. Im Gemeindehaus befindet sich auch eine Barrierefreie Toilette.,The Christmas market takes place on the ground floor (parish hall and church) and in the Linden Garden. The church and parish hall are accessible via a wheelchair ramp. There is also a barrier-free toilet in the parish hall.,52.4753,13.3106,0,1,0,1,0,1,U Rüdesheimer Platz,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
22,Potsdamer Weihnachten,Potsdamer Weihnachten,"Luisenplatz, Vorplatz Brandenburger Tor, Brandenburger Straße, Bassinplatz Nord und Süd",Brandenburg,,24.11.25,28.12.25,So-Do  | 11-21 Uhr  | Fr-Sa  | 11-22 Uhr  | 24.12.: geschlossen  | 25.-26.12.: 11-18 uhr,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,0,0,https://www.hauptstadtkultur.berlin/potsdamer-weihnachten/,"In einem einmaligen Ambiente lädt der Potsdamer Weihnachtsmarkt seine Gäste dazu ein, die vorweihnachtliche Zeit in einer historischen Kulisse zu erleben. Ob weihnachtliche Genüsse, Kunsthandwerker, Eisbahn, Riesenrad, 2 Bühnen oder der Weihnachtsbummel in der Brandenburger Straße mit seinen vielseitigen Geschäften, hier gibt es einiges zu erleben. Hinweis zur Barrierefreiheit: Es stehen barrierefreie WCs zur Verfügung, Kabel und Schläuche werden mit Überfahrbrücken gesichert, und es gibt niedrigere Stehtische für Rollstuhlnutzer*innen.",,52.403,13.045,1,0,0,1,0,0,,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
28,Weihnachtsmarkt Hallen am Borsigturm,Weihnachtsmarkt Hallen am Borsigturm,An den Hallen am Borsigturm,Tegel,13507 Berlin,24.11.25,30.12.25,"Montag - Samstag: 11:00 - 21:00 Uhr
Sonntag: 13:00 - 19:00 Uhr
24.-26.12.2025: geschlossen",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,13:00 - 19:00,"24.12.25, 25.12.25, 26.12.25",0,https://www.hauptstadtkultur.berlin/weihnachtsmarkt-hallen-am-borsigturm-1/,"Ob zum Ausklang eines Weihnachtseinkaufs in den Borsighallen oder als entspannter Familienausflug am Wochenende – dieser Weihnachtsmarkt bietet zahlreiche Gelegenheiten für besondere Momente und vereint besinnliche Feststimmung, Live-Musik und das ideale Ambiente für einen gelungenen Weihnachtseinkauf. Genießen Sie die festliche Atmosphäre, die musikalischen Höhepunkte und die Nähe zum Shopping – ein rundum stimmungsvolles Erlebnis im Herzen Berlins. Erleben Sie alles, was das Herz zur Adventszeit begehrt: liebevoll geschmückte Stände mit süßen und herzhaften Köstlichkeiten, die perfekt zur winterlichen Jahreszeit passen. Besonders die kleinen Gäste kommen hier auf ihre Kosten – das große Kinderkarussell lässt Kinderaugen leuchten und macht den Besuch für Familien zu einem besonderen Erlebnis. Hinweis zur Barrierefreiheit: Es stehen barrierefreie WCs zur Verfügung, Kabel und Schläuche werden mit Überfahrbrücken gesichert. Der Markt ist Montags bis Samstags von 11 bis 21 Uhr und Sonntags von 13 bis 19 Uhr geöffnet, mit einer kurzen Pause an den Feiertagen vom 24. bis 26. Dezember.","Whether you're wrapping up your Christmas shopping in the Borsighallen or enjoying a relaxing family outing on the weekend, this Christmas market offers plenty of opportunities for special moments and combines a festive atmosphere, live music, and the ideal setting for successful Christmas shopping. Enjoy the festive atmosphere, the musical highlights, and the proximity to shopping—an all-round atmospheric experience in the heart of Berlin. Experience everything your heart desires during Advent: lovingly decorated stalls with sweet and savory delicacies that are perfect for the winter season. Younger guests in particular will get their money's worth here – the large children's carousel will make children's eyes light up and make the visit a special experience for families. Barrier-free toilets are available, and cables and hoses are secured with bridges. The market is open Monday to Saturday from 11 a.m. to 9 p.m. and Sunday from 1 p.m. to 7 p.m., with a short break on the holidays from December 24 to 26.",52.585999,13.2867,0,1,0,1,1,1,"U Alt-Tegel, S Tegel",Eingang_HallenAmBorsigturm.jpg,"Aiken Hartenfels, CC Attribution-Share Alike 3.0 de"
31,Weihnachtsmarkt Bölschestraße,Weihnachtsmarkt Bölschestraße,Bölschestraße,Treptow-Köpenick,12587 Berlin,19.12.25,21.12.25,"Freitag: 14:00 - 22:00 Uhr
Samstag: 12:00 - 22:00 Uhr
Sonntag: 12:00 - 20:00 Uhr",0,0,0,0,14:00 - 22:00,12:00 - 22:00,12:00 - 20:00,0,0,https://www.hauptstadtkultur.berlin/weihnachtsmarkt-bolschestrase-1/,"Der Weihnachtsmarkt an der Bölschestraße hat sich in den vergangenen Jahren als fester Bestandteil der Friedrichshagener Weihnacht etabliert. Eingebettet in die gemütliche Atmosphäre des Kiezes, lockt der Markt mit Ständen, die eine Vielfalt an handgemachten Geschenken, Kunsthandwerk und kulinarischen Klassikern wie Glühweintreff und gebrannten Mandeln bieten. Für die kleinen Gäste sorgen Fahr- und Spielgeschäfte für Abwechslung und Unterhaltung bei jedem Wetter. Erleben Sie den Weihnachtsmarkt Bölschestraße – hier trifft Berliner Weihnachtskultur auf den Charme eines lebendigen Kiezes! Der Eintritt ist frei! Hinweis zur Barrierefreiheit: Es stehen barrierefreie WCs zur Verfügung, Kabel und Schläuche werden mit Überfahrbrücken gesichert.","In recent years, the Christmas market on Bölschestraße has become an integral part of Christmas in Friedrichshagen. Nestled in the cozy atmosphere of the neighborhood, the market attracts visitors with stalls offering a variety of handmade gifts, arts and crafts, and culinary classics such as mulled wine and roasted almonds. For younger guests, rides and games provide variety and entertainment in all weather conditions. Experience the Bölschestraße Christmas Market – where Berlin Christmas culture meets the charm of a lively neighborhood! Admission is free! Barrier-free toilets are available, and cables and hoses are secured with bridges.",52.450313,13.624974,0,1,0,1,1,0,,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
