Geo Point;Geo Shape;Name;Zeitraum;Link;Eintritt;Start;Ende
52.3961714537461, 13.05638529701568;"{""coordinates"": [13.05638529701568, 52.3961714537461], ""type"": ""Point""}";Sternenmarkt mit Sternenfest;29.11.-01.12.2024;https://www.sternenmarkt-potsdam.de/;3 €, Kinder bis 14 Jahre fre;2024-11-29T01:00:00+01:00;2024-11-01T01:00:00+01:00
52.38271779298049, 13.034377266046494;"{""coordinates"": [13.034377266046494, 52.38271779298049], ""type"": ""Point""}";Adventsmarkt Hermannswerder;"08.12.2024; 14-18 Uhr";;Eintritt frei;2024-12-08T01:00:00+01:00;2024-12-08T01:00:00+01:00
52.38899736864633, 13.064380330109783;"{""coordinates"": [13.064380330109783, 52.38899736864633], ""type"": ""Point""}";Wintermarkt DAS MINSK Kunsthaus;"29.11.-01.12.2024; 13-20 Uhr";https://dasminsk.de/kalender/5843/wintermarkt_5843;Eintritt frei;2024-11-29T01:00:00+01:00;2024-12-01T01:00:00+01:00
52.39385397219873, 13.027574216931262;"{""coordinates"": [13.027574216931262, 52.39385397219873], ""type"": ""Point""}";Nikolausmarkt auf dem Lottenhof;"30.11.2024; 14.30 Uhr bis 20 Uhr";https://stadtteilnetzwerk.de/nikolausmarkt/;Eintritt frei;2024-11-30T01:00:00+01:00;2024-11-30T01:00:00+01:00
52.41861240712519, 13.059283551390799;"{""coordinates"": [13.059283551390799, 52.41861240712519], ""type"": ""Point""}";Adventswochenende auf Schloss Belvedere;"16.-17.12.2024; 15-19 Uhr";https://www.pfingstberg.de/kalender-eintrag/adventswochenende-im-schloss-belvedere;;2024-12-16T01:00:00+01:00;2024-12-17T01:00:00+01:00
52.39949368227917, 13.047647983872329;"{""coordinates"": [13.047647983872329, 52.39949368227917], ""type"": ""Point""}";Blauer Lichterglanz, Luisenplatz;25.11.-29.12.2024;http://www.coex-gmbh.de/;Eintritt frei;2024-11-25T01:00:00+01:00;2024-12-29T01:00:00+01:00
52.4106950916787, 13.05709493779083;"{""coordinates"": [13.05709493779083, 52.4106950916787], ""type"": ""Point""}";Hofweihnachtsmarkt in der Alexandrowka;30.11.-01.12.24;;;2024-11-30T01:00:00+01:00;2024-12-01T01:00:00+01:00
52.39368462146633, 13.088617254707936;"{""coordinates"": [13.088617254707936, 52.39368462146633], ""type"": ""Point""}";Adventsmarkt mit allen Sinnen Campus Oberlinhaus;"07.12.2024; 14-19 Uhr";https://oberlinhaus.de/;Eintritt frei;2024-12-07T01:00:00+01:00;2024-12-07T01:00:00+01:00
52.385155775265105, 13.037248500758936;"{""coordinates"": [13.037248500758936, 52.385155775265105], ""type"": ""Point""}";Adventsmarkt auf Hermannswerder;"04.12.2024; 15-18 Uhr";https://oberlinhaus.de/news/gestecke-basteln-plaetzchen-backen-und-vieles-mehr;Eintritt frei;2024-12-04T01:00:00+01:00;2024-12-04T01:00:00+01:00
52.40022809171494, 13.0535159974891;"{""coordinates"": [13.0535159974891, 52.40022809171494], ""type"": ""Point""}";Blauer Lichterglanz, Brandenburger Straße;25.11.-29.12.2024;http://www.coex-gmbh.de/;Eintritt frei;2024-11-25T01:00:00+01:00;2024-12-29T01:00:00+01:00
52.40045432059926, 13.060040287957536;"{""coordinates"": [13.060040287957536, 52.40045432059926], ""type"": ""Point""}";Blauer Lichterglanz, Bassinplatz;25.11.-29.12.2024;http://www.coex-gmbh.de/;Eintritt frei;2024-11-25T01:00:00+01:00;2024-12-29T01:00:00+01:00
52.40299598991009, 13.060599246910698;"{""coordinates"": [13.060599246910698, 52.40299598991009], ""type"": ""Point""}";Sinterklaas-Fest im Holländischen Viertel;07.12.-08.12.2024;https://jan-bouman-haus.de/de/sinterklaas;Eintritt frei;2024-12-07T01:00:00+01:00;2024-12-08T01:00:00+01:00
52.393618480718615, 13.095165209728878;"{""coordinates"": [13.095165209728878, 52.393618480718615], ""type"": ""Point""}";Böhmischer Weihnachtsmarkt Weberplatz Babelsberg;"29.11.-01.12.2024; 06.12.-08.12.2024";https://babelsberg-potsdam.de/termine-projekte/bohmischer-weihnachtsmarkt/;Eintritt frei;2024-11-29T01:00:00+01:00;2024-12-08T01:00:00+01:00
52.40629860120973, 13.019116939417014;"{""coordinates"": [13.019116939417014, 52.40629860120973], ""type"": ""Point""}";Potsdamer WEINnacht auf dem Königlichen Weinberg;"30.11.2024; 13-20 Uhr";https://www.spsg.de/aktuelles/veranstaltung/3-potsdamer-weinnacht/event/tid/10037;Eintritt frei;2024-11-30T01:00:00+01:00;2024-11-30T01:00:00+01:00
52.40897109498182, 12.972837798847854;"{""coordinates"": [12.972837798847854, 52.40897109498182], ""type"": ""Point""}";Golmer Adventsmarkt;29.11.2024, 14-19 Uhr;;Eintritt frei;2024-11-29T01:00:00+01:00;2024-11-29T01:00:00+01:00
